number_of_rooms;square_meters;place_type;street;zip_city;char.1;char.2;char.3;rent;p/squarem/y;
2 rooms ; 44 m² ; Apartment;Route De Berne 1; 1010 Lausanne;Close to public transport;Modern equipped kitchen;Vibrant neighborhood shops;CHF 1,830.-;CHF 499 / m² / year;
2.5 rooms ; 59 m² ; Apartment;;1012 Lausanne;180° panoramic views;Spacious 6m² balcony;Modern kitchen with Dekton;CHF 2,600.-;CHF 529 / m² / year;
3.5 rooms ; 73 m² ; Apartment;Chemin de la Gravière 4; 1007 Lausanne;Open-plan kitchen;Cozy balcony space;Nearby cinema & fitness;CHF 2,020.-;CHF 332 / m² / year;
7.5 rooms ; 171 m² ; Duplex;Avenue De Valmont 12; 1010 Lausanne;Close to public transport;Spacious balconies;Nearby cultural amenities;CHF 3,440.-;CHF 241 / m² / year;
2.5 rooms ; 56 m² ; Apartment;Avenue Victor-Ruffy 75; 1012 Lausanne;Bright living spaces;Open-plan kitchen;Convenient laundry access;CHF 1,970.-;CHF 422 / m² / year;
4.5 rooms ; 89 m² ; Apartment;Chemin De Barberine 3; 1004 Lausanne;Cultural hub nearby;Balcony with great views;Fully equipped kitchen;CHF 2,450.-;CHF 330 / m² / year;
5.5 rooms ; 119 m² ; Apartment;Avenue De Sévelin 13; 1004 Lausanne;Architect-designed building;Minergie certified quality;Close to public transport;CHF 3,406.-;CHF 343 / m² / year;
3 rooms ; 83 m² ; Apartment;Chemin Du Salève 11; 1004 Lausanne;Open kitchen with living room;Balcony with beautiful views;Quiet green surroundings;CHF 2,045.-;CHF 296 / m² / year;
3.5 rooms ; 105 m² ; Apartment;Chemin Du Salève 13; 1004 Lausanne;Spacious living with balcony;Fully equipped modern kitchen;Quiet green surroundings;CHF 2,380.-;CHF 272 / m² / year;
3 rooms ; 94 m² ; Apartment;Avenue De France 59; 1004 Lausanne;Dining kitchen with balcony;Parquet living room;5 min to shops & transport;CHF 2,105.-;CHF 269 / m² / year;
3.5 rooms ; 97 m² ; Apartment;Rue Du Rôtillon 2; 1003 Lausanne;Prime location in Lausanne;Fully equipped new kitchen;New bathroom and shower;CHF 2,930.-;CHF 362 / m² / year;
3 rooms ; 71 m² ; Apartment;Avenue De France 61; 1004 Lausanne;Dining kitchen with balcony;Two bedrooms with parquet;10 min walk to city center;CHF 1,700.-;CHF 287 / m² / year;
6 rooms ; 150 m² ; Stepped apartment;Rue Etraz 14; 1003 Lausanne;Stunning lake and Alps view;Modern open kitchen design;Spacious terrace for relaxation;CHF 6,250.-;CHF 500 / m² / year;
3.5 rooms ; 75 m² ; Apartment;Chemin Guillaume-De-Pierrefleur 11; 1004 Lausanne;Renovated apartment;Charming neighborhood;Balcony & cellar;CHF 2,460.-;CHF 394 / m² / year;
3.5 rooms ; 89 m² ; Apartment;Rue Edith-Burger 6; 1018 Lausanne;Open kitchen with balcony;Bike storage available;Quick bus access to city;CHF 2,540.-;CHF 342 / m² / year;
2.5 rooms ; 55 m² ; Apartment;Avenue De Morges 119a; 1004 Lausanne;New building in city center;Includes indoor parking;Open kitchen with balcony access;CHF 2,143.-;CHF 468 / m² / year;
4.5 rooms ;; Apartment;Chemin Des Fauconnières 12; 1012 Lausanne;Fully equipped kitchen;Private bathroom with laundry;Quiet neighborhood with amenities;CHF 3,000.-;—;
2.5 rooms ; 63 m² ; Apartment;Avenue De Sévelin 13; 1004 Lausanne;Spacious balcony for relaxation;Close to vibrant amenities;Minergie certified building;CHF 2,310.-;CHF 440 / m² / year;
2.5 rooms ; 75 m² ; Apartment;;1003 Lausanne;Recently renovated;Close to amenities;Cozy Parisian balcony;CHF 2,040.-;CHF 326 / m² / year;
2.5 rooms ; 84 m² ; Apartment;Rue Mauborget 10; 1003 Lausanne;Freshly renovated interior;Bright living room with parquet;Open kitchen with modern design;CHF 2,650.-;CHF 379 / m² / year;
4.5 rooms ; 81 m² ; Apartment;Chemin Du Martinet 22; 1007 Lausanne;Modern equipped kitchen;Central location in city;Stylish renovated interiors;CHF 2,490.-;CHF 369 / m² / year;
1.5 rooms ; 28 m² ; Studio;Chemin De Bochardon 5; 1012 Lausanne;Private 13 m² terrace;High-end kitchen appliances;Quiet neighborhood location;CHF 1,350.-;CHF 579 / m² / year;
4.5 rooms ; 76 m² ; Apartment;Route De Berne 1; 1010 Lausanne;Near public transport & shops;Spacious balcony;Shared laundry room;CHF 2,570.-;CHF 406 / m² / year;
4.5 rooms ; 98 m² ; Duplex;Rue Du Petit-Saint-Jean 5; 1003 Lausanne;Spacious terrace access;Modern open kitchen;Close to public transport;CHF 3,355.-;CHF 411 / m² / year;
4.5 rooms ; 80 m² ; Apartment;Chemin Du Martinet 28; 1007 Lausanne;Modern kitchen included;Stylish bathroom design;Balcony with stunning views;CHF 2,090.-;CHF 314 / m² / year;
2.5 rooms ; 55 m² ; Apartment;;1018 Lausanne;Stunning rooftop views;Private covered parking;Eco-friendly neighborhood;CHF 2,625.-;CHF 573 / m² / year;
4.5 rooms ; 127 m² ; Apartment;Avenue De Chailly 64; 1012 Lausanne;Authentic neighborhood charm;Peaceful gardens nearby;Open kitchen and balcony;CHF 4,102.-;CHF 388 / m² / year;
1.5 rooms ; 33 m² ; Apartment;Chemin De Champ-Rond 61; 1010 Lausanne;Spacious living area;Private terrace & garden;Quiet neighborhood location;CHF 1,500.-;CHF 545 / m² / year;
2 rooms ; 50 m² ; Apartment;Avenue Victor-Ruffy 22; 1012 Lausanne;Equipped kitchen;Charming Gottettaz park;Epicurean neighborhood;CHF 1,585.-;CHF 380 / m² / year;
5.5 rooms ; 124 m² ; Apartment;Avenue Des Bains 8; 1007 Lausanne;Panoramic lake and mountain view;Terrace and sunroom;High-end kitchen;CHF 5,800.-;CHF 561 / m² / year;
3.5 rooms ; 84 m² ; Apartment;;1007 Lausanne;Contemporary furnished design;Spacious south-facing balcony;Indoor parking with EV option;CHF 3,440.-;CHF 491 / m² / year;
2.5 rooms ; 51 m² ; Apartment;Avenue De Gratta-Paille 16; 1018 Lausanne;Bright open kitchen;Terrace access from living;Elevator and parking option;CHF 1,650.-;CHF 388 / m² / year;
2 rooms ; 49 m² ; Apartment;Avenue De Beaulieu 18; 1004 Lausanne;Prime location near transport;Spacious living area;Convenient balcony access;CHF 1,723.-;CHF 422 / m² / year;
1 room ; 25 m² ; Apartment;Avenue De Valmont 14; 1010 Lausanne;Direct highway access;Balcony with views;Close to public transport;CHF 1,040.-;CHF 499 / m² / year;
3.5 rooms ; 70 m² ; Apartment;Chemin Du Martinet 28; 1007 Lausanne;Renovated with balcony;Stunning modern kitchen;Beautiful views from living room;CHF 1,890.-;CHF 324 / m² / year;
2.5 rooms ; 61 m² ; Apartment;Chemin Du Martinet 28; 1007 Lausanne;Renovated with balcony;Stunning modern kitchen;Beautiful views from living room;CHF 1,690.-;CHF 332 / m² / year;
2.5 rooms ; 58 m² ; Apartment;Avenue De Sévelin 13; 1004 Lausanne;Close to city center;Balcony with great views;Indoor parking available;CHF 1,750.-;CHF 362 / m² / year;
4.5 rooms ;; Apartment;Route De Berne 115; 1010 Lausanne;Comfortable furnished flat;Fully equipped kitchens;Private laundry facilities;CHF 3,440.-;—;
3.5 rooms ; 85 m² ; Apartment;Avenue Du Tribunal-Fédéral 25; 1005 Lausanne;Bright living room with views;Modern equipped kitchen;Quiet central location;CHF 3,130.-;CHF 442 / m² / year;
3.5 rooms ; 75 m² ; Apartment;Avenue De Sévelin 13; 1004 Lausanne;Stylish Minergie building;Close to public transport;Indoor parking available;CHF 2,210.-;CHF 354 / m² / year;
1 room ; 19 m² ; Studio;Rue Mercerie 16; 1003 Lausanne;Ideal city center location;Well-equipped kitchen;Close to public transport;CHF 1,003.-;CHF 633 / m² / year;
4.5 rooms ; 110 m² ; Apartment;;1004 Lausanne;Spacious 34m² terrace;Private laundry in unit;Quality finishes throughout;CHF 3,370.-;CHF 368 / m² / year;
1.5 rooms ; 60 m² ; Loft;Avenue De La Sallaz 58; 1010 Lausanne;Bright loggia space;Open fully equipped kitchen;Close to public transport;CHF 1,930.-;CHF 386 / m² / year;
1 room ; 20 m² ; Apartment;Chemin Des Rosiers 3; 1004 Lausanne;Cultural hub nearby;Modern kitchen included;Cozy balcony space;CHF 1,160.-;CHF 696 / m² / year;
1.5 rooms ; 47 m² ; Apartment;Rue Des Terreaux 12; 1003 Lausanne;Historic building charm;Elegant parquet flooring;High ceilings throughout;CHF 1,620.-;CHF 414 / m² / year;
3 rooms ; 89 m² ; Apartment;Rue Adrien-Pichard 2; 1003 Lausanne;Open-plan kitchen;Bright living area;Historic building charm;CHF 2,490.-;CHF 336 / m² / year;
4.5 rooms ; 103 m² ; Apartment;Avenue De La Vallombreuse 52; 1004 Lausanne;Spacious 7m² balcony;Fully equipped kitchen;Perfect condition, freshly painted;CHF 2,950.-;CHF 344 / m² / year;
3.5 rooms ; 80 m² ; Apartment;;1000 Lausanne;Bright and spacious layout;Modern shower room;Balcony with great views;CHF 2,655.-;CHF 398 / m² / year;
3.5 rooms ; 84 m² ; Apartment;;1018 Lausanne;Open kitchen with balcony;Laundry column in bathroom;Quick bus access to city;CHF 2,590.-;CHF 370 / m² / year;
3 rooms ; 68 m² ; Apartment;Route De Berne 1; 1010 Lausanne;Renovated apartment;Near CHUV & public transport;Balcony & communal laundry;CHF 2,323.-;CHF 410 / m² / year;
;25 m² ; Apartment;Rue Du Simplon 12; 1006 Lausanne;Close to public transport;Modern fitted kitchen;Bright living area;CHF 1,470.-;CHF 706 / m² / year;
3.5 rooms ; 76 m² ; Apartment;;1004 Lausanne;Recently renovated;Includes balcony;Private parking option;CHF 3,063.-;CHF 484 / m² / year;
1.5 rooms ; 63 m² ; Apartment;Rue Des Terreaux 8; 1003 Lausanne;Fully renovated space;Bright living area;Free cellar included;CHF 2,478.-;CHF 472 / m² / year;
2.5 rooms ; 69 m² ; Apartment;Rue Des Terreaux 4; 1003 Lausanne;Spacious entrance hall;Bright living room;Close to metro station;CHF 2,250.-;CHF 391 / m² / year;
1 room ; 25 m² ; Studio;Chemin De Montmeillan 19; 1005 Lausanne;Green neighborhood access;Balcony with city views;Equipped modern kitchen;CHF 1,080.-;CHF 518 / m² / year;
3.5 rooms ; 78 m² ; Apartment;Rue Des Terreaux 15; 1003 Lausanne;Lausanne city center;Public transport nearby;Equipped kitchen;CHF 2,270.-;CHF 349 / m² / year;
2 rooms ;; Furnished apartment;;1004 Lausanne;Fully furnished;Central location;Stunning view;CHF 1,000.-;—;
1 room ; 20 m² ; Studio;Rue De La Louve 2; 1003 Lausanne;Near public transport & shops;Kitchen and bathroom;Male clients only;CHF 850.-;CHF 510 / m² / year;
2.5 rooms ; 60 m² ; Apartment;Route Du Pavement 121; 1018 Lausanne;Large terrace and garden;Underground parking and cellar;Quiet location, high-end finishes;CHF 2,290.-;CHF 458 / m² / year;
3.5 rooms ; 73 m² ; Apartment;Chemin Du Devin 63; 1012 Lausanne;Quiet and green area;Open kitchen & living room;Parking options available;CHF 1,960.-;CHF 322 / m² / year;
4.5 rooms ; 128 m² ; Apartment;Chemin De La Prairie 5; 1007 Lausanne;Bright living room with open view;Modern fully equipped kitchen;Sunny balcony;CHF 3,103.-;CHF 292 / m² / year;
;31 m² ; Apartment;Avenue D'echallens 102; 1004 Lausanne;Quiet area, near the park;Bright and spacious studio;Equipped kitchen, dishwasher;CHF 1,295.-;CHF 501 / m² / year;
3 rooms ; 85 m² ; Apartment;Chemin De Renens 52; 1004 Lausanne;High-quality, custom furniture;Quiet, bright apartment;Near public transport & highway;CHF 3,350.-;CHF 473 / m² / year;
;89 m² ; Apartment;Rue De La Tour 15; 1003 Lausanne;Spacious and quiet;Loft with equipped kitchen;Laundry included;CHF 2,128.-;CHF 287 / m² / year;
2.5 rooms ; 75 m² ; Apartment;Rue Dr. César-Roux 4; 1005 Lausanne;Bright rooms;Modern kitchen;Central location;CHF 1,983.-;CHF 317 / m² / year;
3 rooms ; 66 m² ; Apartment;Chemin Du Bois-Gentil 146; 1018 Lausanne;Immediate availability;Cozy living room space;Versatile office/bedroom;CHF 1,460.-;CHF 265 / m² / year;
3.5 rooms ;; Apartment;Chemin Des Lys 6; 1010 Lausanne;Bright and airy;Top floor location;Fully equipped kitchen;CHF 2,475.-;—;
2 rooms ; 43 m² ; Apartment;Chemin Du Reposoir 2; 1007 Lausanne;Modern kitchen design;Bright living space;Renovation in progress;CHF 1,500.-;CHF 419 / m² / year;
2 rooms ; 51 m² ; Apartment;Chemin De Montelly 17; 1007 Lausanne;Balcony;Fitted kitchen;Great location;CHF 1,490.-;CHF 351 / m² / year;
2 rooms ;; Apartment;Chemin Des Sauges 3; 1018 Lausanne;Equipped kitchen;Large living room;Bathroom (under renovation);CHF 1,490.-;—;
4 rooms ; 99 m² ; Apartment;Avenue De Tivoli 56; 1007 Lausanne;Complete renovation;Equipped kitchen;Tivoli location;CHF 2,640.-;CHF 320 / m² / year;
2 rooms ; 44 m² ; Apartment;Avenue D'echallens 36; 1004 Lausanne;Quiet location away from road;2 min walk to public transport;Nearby shops and amenities;CHF 1,520.-;CHF 415 / m² / year;
2.5 rooms ; 60 m² ; Apartment;Chemin De Renens 20; 1004 Lausanne;Quiet green neighborhood;Close to public transport;Spacious living area;CHF 1,770.-;CHF 354 / m² / year;
3.5 rooms ; 75 m² ; Apartment;Avenue De Sévelin 13; 1004 Lausanne;Dynamic urban neighborhood;Open-plan kitchen design;Minergie certified building;CHF 2,382.-;CHF 381 / m² / year;
4.5 rooms ; 93 m² ; Apartment;Avenue De France 98; 1004 Lausanne;Spacious 22m2 balcony;Modern open kitchen;Secure underground parking;CHF 3,110.-;CHF 401 / m² / year;
3 rooms ;; Apartment;Chemin de la Fauvette 2; 1012 Lausanne;Spacious ground-floor terrace;Bright living room access;Close to amenities & parks;CHF 2,160.-;—;
1.5 rooms ; 23 m² ; Furnished apartment;Avenue Du Mont-D'or; 1007 Lausanne;Close to public transport;Balcony with great views;Fully equipped kitchen;CHF 1,640.-;CHF 856 / m² / year;
3.5 rooms ; 70 m² ; Apartment;Chemin Du Levant; 1005 Lausanne;Private garden with lake view;Quiet residential area;Balcony off the living room;On request;—;
2.5 rooms ; 44 m² ; Apartment;Avenue Victor-Ruffy 36; 1012 Lausanne;Bright living room;Equipped separate kitchen;Balcony with view;CHF 1,560.-;CHF 425 / m² / year;
3.5 rooms ; 111 m² ; Apartment;Rue De La Grotte 5; 1003 Lausanne;Bright and spacious living room;Semi-open, fully equipped kitchen;Balcony with city views;CHF 3,604.-;CHF 390 / m² / year;
2.5 rooms ; 55 m² ; Apartment;Chemin Du Reposoir 20; 1007 Lausanne;Spacious garden oasis;Renovated with vintage charm;Large kitchen for dining;CHF 2,400.-;CHF 524 / m² / year;
3.5 rooms ; 82 m² ; Apartment;Rue Couchirard 5; 1004 Lausanne;Modern coworking spaces;Spacious terrace for relaxation;Vibrant urban neighborhood;CHF 2,060.-;CHF 301 / m² / year;
2.5 rooms ; 48 m² ; Apartment;Rue Du Maupas 42c; 1004 Lausanne;Close to city center;Well-connected transport;Cozy balcony retreat;CHF 1,520.-;CHF 380 / m² / year;
1 room ;; Apartment;Chemin De La Vuachère 2; 1005 Lausanne;Peaceful park setting;Workspaces with internet;Shared kitchen & terrace;CHF 1,500.-;—;
2 rooms ; 42 m² ; Apartment;Chemin Du Devin 4; 1012 Lausanne;Renovated in a quiet area;1 min to bus stop;Equipped kitchen with fridge;CHF 1,510.-;CHF 431 / m² / year;
4 rooms ; 84 m² ; Apartment;Chemin De Renens 22; 1004 Lausanne;Quiet green neighborhood;Fully equipped kitchen;Convenient storage space;CHF 2,020.-;CHF 289 / m² / year;
1 room ; 20 m² ; Apartment;Chemin Des Diablerets 2; 1012 Lausanne;Close to public transport;Equipped open kitchen;Private garden space;CHF 1,515.-;CHF 909 / m² / year;
2 rooms ; 72 m² ; Apartment;Rue Caroline 15a; 1003 Lausanne;Stunning cathedral views;Modern open kitchen;Private 30 m² garden;CHF 3,000.-;CHF 500 / m² / year;
2.5 rooms ; 72 m² ; Apartment;Avenue Virgile-Rossel 10; 1012 Lausanne;Close to CHUV hospital;Spacious living room;Private garage available;CHF 2,250.-;CHF 375 / m² / year;
3.5 rooms ; 81 m² ; Apartment;Chemin Du Levant 22; 1005 Lausanne;Central, quiet location;Private garden terrace;Newly painted interior;CHF 2,300.-;CHF 341 / m² / year;
5.5 rooms ; 220 m² ; Apartment;;1000 Lausanne;Private lake access;Spacious 80 m² terrace;Indoor pool and sauna;CHF 14,750.-;CHF 805 / m² / year;
4.5 rooms ; 77 m² ; Apartment;Avenue Victor-Ruffy 36; 1012 Lausanne;Spacious living room;Equipped kitchen;Available May 2025;CHF 2,540.-;CHF 396 / m² / year;
;37 m² ; Apartment;Boulevard De Grancy 37; 1006 Lausanne;2 min walk to train station;Elevator access to top floor;Balcony with city views;On request;—;
3 rooms ; 72 m² ; Apartment;Rue Belle-Fontaine 6; 1003 Lausanne;Sunny balcony retreat;Modern kitchen design;Close to public transport;CHF 1,830.-;CHF 305 / m² / year;
5 rooms ; 135 m² ; Apartment;Rue Cité-Derrière 8; 1005 Lausanne;Spacious entry hall;Bright living/dining area;Large balcony with views;CHF 3,095.-;CHF 275 / m² / year;
2.5 rooms ;; Apartment;;1006 Lausanne;Stunning lake views;Open kitchen design;Close to public transport;CHF 2,800.-;—;
2 rooms ; 53 m² ; Apartment;Chemin De Bonne-Espérance 24; 1006 Lausanne;Quiet, green neighborhood;Balcony;Cellar;CHF 1,650.-;CHF 374 / m² / year;
3 rooms ; 63 m² ; Apartment;Chemin De La Fauvette 4b; 1012 Lausanne;Close to Gottettaz Park;Near shops and transport;Balcony with great views;CHF 1,700.-;CHF 324 / m² / year;
2.5 rooms ; 79 m² ; Apartment;Rue Du Flon 12; 1003 Lausanne;Modern Minergie building;Balcony with city views;Close to public transport;CHF 2,565.-;CHF 390 / m² / year;
2 rooms ; 58 m² ; Apartment;Chemin Des Faverges 16; 1006 Lausanne;Quiet neighborhood;City bus at doorstep;Balcony and cellar;CHF 1,635.-;CHF 338 / m² / year;
2 rooms ; 46 m² ; Apartment;Avenue De Beaumont; 1012 Lausanne;Quiet area, near CHUV;Easy access to public transport;Balcony and cellar included;CHF 1,499.-;CHF 391 / m² / year;
2.5 rooms ;; Apartment;Chemin Du Devin 8; 1012 Lausanne;Fully renovated in 2022;Quiet neighborhood ambiance;Equipped kitchen with dishwasher;CHF 2,050.-;—;
2.5 rooms ; 56 m² ; Apartment;Chemin Des Croix-Rouges 8; 1007 Lausanne;Elevator access;Cozy balcony space;Modern fitted kitchen;CHF 1,800.-;CHF 386 / m² / year;
4.5 rooms ; 151 m² ; Apartment;Avenue Collonges 21; 1004 Lausanne;Spacious 150m2 layout;Direct elevator access;Stunning park view terrace;CHF 4,980.-;CHF 396 / m² / year;
3.5 rooms ; 81 m² ; Apartment;Chemin Des Aubépines 15; 1004 Lausanne;Stunning Alpine views;Newly renovated kitchen;Elegant classic building;CHF 2,900.-;CHF 430 / m² / year;
2.5 rooms ; 70 m² ; Apartment;Avenue De L'église-Anglaise 6; 1006 Lausanne;Bright living room;Fully equipped kitchen;Quiet green area;CHF 2,700.-;CHF 463 / m² / year;
3.5 rooms ; 95 m² ; Apartment;Route Aloys-Fauquez 4; 1018 Lausanne;Bright attic living space;Fully equipped kitchen;Pets allowed in the apartment;CHF 2,410.-;CHF 304 / m² / year;
4.5 rooms ; 190 m² ; Apartment;Avenue De Béthusy 74; 1012 Lausanne;Access to sauna & pool;Modern Minergie building;Balcony with lake view;CHF 5,300.-;CHF 335 / m² / year;
5 rooms ;; Apartment;;1003 Lausanne;Bright with large windows;Elegant period parquet;Modern equipped kitchen;CHF 4,230.-;—;
3 rooms ; 78 m² ; Apartment;;1005 Lausanne;Bright living spaces;Convenient laundry access;Upcoming renovations planned;CHF 1,990.-;CHF 306 / m² / year;
3.5 rooms ; 86 m² ; Apartment;;1004 Lausanne;Spacious living area;Modern fitted kitchen;Private indoor parking;CHF 2,658.-;CHF 371 / m² / year;
3 rooms ; 76 m² ; Apartment;Chemin De Champ-Rond 15; 1010 Lausanne;Renovated in 2017;Balcony with green view;Close to metro and shops;CHF 2,220.-;CHF 351 / m² / year;
3 rooms ; 80 m² ; Apartment;Route Du Jorat 190; 1000 Lausanne;Ideal for seniors;Community space available;Close to public transport;CHF 2,125.-;CHF 319 / m² / year;
1 room ;; Furnished apartment;Rue De L'académie 2; 1005 Lausanne;Historic building charm;Fully furnished comfort;Close to public transport;CHF 1,130.-;—;
4.5 rooms ; 114 m² ; Apartment;Rue Des Terreaux 4; 1003 Lausanne;114m2 with exposed beams;Central, near Lausanne-Flon;Open kitchen, 3 bedrooms;CHF 3,740.-;CHF 394 / m² / year;
2 rooms ; 50 m² ; Apartment;Rue Du Maupas 24; 1004 Lausanne;City center, near amenities;Small balcony & parquet floors;Private cellar & laundry;CHF 1,432.-;CHF 344 / m² / year;
2.5 rooms ;; Apartment;Chemin de la Vulliette 36; 1000 Lausanne;Quiet location, near EHL;Sunny balcony, Alps view;Versatile mezzanine area;CHF 1,390.-;—;
2.5 rooms ; 55 m² ; Apartment;Avenue Frédéric Recordon 2b; 1004 Lausanne;Modern kitchen & bathroom;Two large balconies;Minergie standard;CHF 1,910.-;CHF 417 / m² / year;
2.5 rooms ; 65 m² ; Apartment;Avenue Frédéric-César-De-La-Harpe 20a; 1007 Lausanne;Partial lake view;Quiet location;Parking available;CHF 1,820.-;CHF 336 / m² / year;
2.5 rooms ; 55 m² ; Apartment;Rue De Genève 75; 1004 Lausanne;Geneva Avenue Quarter;Balcony from 2 rooms;Equipped kitchen;CHF 1,500.-;CHF 327 / m² / year;
2.5 rooms ; 61 m² ; Apartment;;1005 Lausanne;Peaceful green neighborhood;Balcony with a view;Private parking space;CHF 1,320.-;CHF 260 / m² / year;
3 rooms ; 55 m² ; Apartment;Avenue Des Oiseaux 9; 1018 Lausanne;Top floor apartment;Built-in wardrobes;Fitted kitchen;CHF 1,680.-;CHF 367 / m² / year;
1 room ; 28 m² ; Apartment;Rue Du Clos-De-Bulle 5; 1004 Lausanne;Fitted kitchen;Near public transport;Cellar;CHF 1,080.-;CHF 463 / m² / year;
3.5 rooms ; 76 m² ; Apartment;Rue Du Maupas 16; 1004 Lausanne;Elevator access;Equipped kitchen;Spacious living area;CHF 161.-;CHF 25 / m² / year;
2.5 rooms ; 56 m² ; Apartment;Avenue De Valmont 7; 1010 Lausanne;Unfurnished kitchen with fridge;Bathroom included;Fixed-term lease until 31.12.2024;CHF 1,350.-;CHF 289 / m² / year;
2 rooms ; 38 m² ; Apartment;Avenue De Valmont 7; 1010 Lausanne;Balcony;Equipped kitchen;Until 31.12.2024;CHF 1,495.-;CHF 472 / m² / year;
4 rooms ; 115 m² ; Apartment;Place Du Tunnel 13; 1005 Lausanne;Fitted kitchen;Separate bath and WC;Lausanne city center;CHF 2,580.-;CHF 269 / m² / year;
2 rooms ; 62 m² ; Apartment;Avenue Collonges 25; 1004 Lausanne;Equipped kitchen included;Cozy balcony for relaxation;Storage cellar available;CHF 1,548.-;CHF 300 / m² / year;
3.5 rooms ;; Apartment;Chemin Du Chalet De Praroman 4d; 1000 Lausanne;Countryside and mountain view;Open kitchen to living room;Indoor parking space;CHF 2,290.-;—;
2 rooms ; 42 m² ; Apartment;Avenue De Tivoli 19; 1007 Lausanne;Public transport access;Underground and outdoor parking;City center;CHF 1,205.-;CHF 344 / m² / year;
3.5 rooms ; 63 m² ; Apartment;Avenue De Cour 17; 1007 Lausanne;Exceptional lake view;Close to shops and transport;Veranda and cellar included;CHF 2,250.-;CHF 429 / m² / year;
1 room ; 30 m² ; Apartment;Chemin Du Furet 4; 1018 Lausanne;Equipped kitchen;Private bathroom;Built-in wardrobes;CHF 985.-;CHF 394 / m² / year;
2.5 rooms ; 55 m² ; Apartment;Avenue Frédéric-Recordon 3; 1004 Lausanne;Tree-lined terrace;Freshly painted;Ground floor apartment;CHF 1,450.-;CHF 316 / m² / year;
6 rooms ; 150 m² ; Apartment;Rue De L'aurore 2; 1005 Lausanne;Modern comfort, period charm;Sought-after residential area;Outdoor parking included;CHF 2,680.-;CHF 214 / m² / year;
1 room ; 9 m² ; Apartment;Chemin De Montolivet 19; 1006 Lausanne;Furnished single room;Shared kitchen & living room;Shared laundry;CHF 520.-;CHF 693 / m² / year;
4 rooms ; 119 m² ; Apartment;Chemin Du Treyblanc 2; 1006 Lausanne;Lake view;Charming old building;Modern comfort;CHF 3,470.-;CHF 350 / m² / year;
2 rooms ; 60 m² ; Apartment;Chemin Des Bossons; 1018 Lausanne;Bright and spacious;Near amenities;Group visit on May 7th;CHF 1,540.-;CHF 308 / m² / year;
2 rooms ; 42 m² ; Apartment;;1004 Lausanne;Near Lausanne city center;Open kitchen;Balcony (corridor);CHF 1,450.-;CHF 414 / m² / year;
2.5 rooms ; 44 m² ; Apartment;Rue Du Maupas; 1004 Lausanne;Lausanne city center;Mountain view balcony;Equipped kitchen;CHF 1,430.-;CHF 390 / m² / year;
1 room ; 35 m² ; Apartment;;1018 Lausanne;Ideal for short stays;Close to public transport;Parking in blue zone;CHF 55.-;CHF 19 / m² / year;
3.5 rooms ; 66 m² ; Apartment;Chemin Du Parc-De-Valency 3; 1004 Lausanne;Charming apartment in Lausanne;Near Valency Park;Balcony & cellar;CHF 1,785.-;CHF 325 / m² / year;
1.5 rooms ; 28 m² ; Apartment;;1004 Lausanne;Bright and furnished space;Central location in Lausanne;Includes bathtub and kitchen;CHF 830.-;CHF 356 / m² / year;
3.5 rooms ; 80 m² ; Apartment;Avenue de la Chablière 20; 1004 Lausanne;Spacious sunny balcony;Equipped kitchen included;10 min walk to downtown;CHF 2,100.-;CHF 315 / m² / year;
1.5 rooms ; 38 m² ; Apartment;Avenue De Sévelin 15; 1004 Lausanne;Mezzanine level;Fully equipped kitchen;Smart home features;CHF 1,560.-;CHF 493 / m² / year;
2.5 rooms ; 79 m² ; Apartment;Avenue Du Léman; 1005 Lausanne;Lausanne city center;Optional underground parking;Nearby amenities;CHF 2,090.-;CHF 317 / m² / year;
4.5 rooms ;; Apartment;;1007 Lausanne;Lausanne city center;Near station and lake;Charming neighborhood;CHF 2,600.-;—;
4.5 rooms ; 60 m² ; Apartment;;1003 Lausanne;Sunny and quiet;Balcony;Parking possible;On request;—;
1 room ;; Apartment;;1004 Lausanne;Furnished apartment;Equipped kitchen;Parking included;CHF 1,200.-;—;
2.5 rooms ; 62 m² ; Apartment;Avenue Du Léman; 1005 Lausanne;Lake and Alps view;Newly renovated;Central location;CHF 2,490.-;CHF 482 / m² / year;
2.5 rooms ; 60 m² ; Apartment;;1006 Lausanne;Excellent condition;Balcony with a view;Close to amenities;CHF 2,000.-;CHF 400 / m² / year;
3 rooms ; 57 m² ; Apartment;Avenue De La Gare; 1003 Lausanne;Lake and vineyards view;Eco-friendly building;Near train station;CHF 1,700.-;CHF 358 / m² / year;
1 room ; 24 m² ; Apartment;Avenue De La Gare; 1003 Lausanne;Lake view & eco-habitat;Near Grandvaux train station;Shared spaces & community;CHF 835.-;CHF 418 / m² / year;
2.5 rooms ; 52 m² ; Apartment;Avenue de Sévery 5; 1004 Lausanne;Near Valency Park;Partially furnished kitchen;Balcony and built-in wardrobes;CHF 1,705.-;CHF 393 / m² / year;
3.5 rooms ; 75 m² ; Apartment;;1012 Lausanne;Close to amenities;Garage included;Convenient location;CHF 1,650.-;CHF 264 / m² / year;
3.5 rooms ; 72 m² ; Apartment;Rue Belle-Fontaine 6; 1003 Lausanne;Available immediately;Viewing possible;Central location;CHF 1,700.-;CHF 283 / m² / year;
